source,target,weight
RegBRAJP,CornetaCritica,2
primasilenciosa,joaodomenech,2
RealMeDT,Suzano_info,2
Arnaldo96251489,GgmAndrews,2
Raquelperess22,Suzano_info,2
_kleber_silva,CornetaCritica,2
Mauro46431491,joaodomenech,2
ivanir56500,JoaquinTeixeira,2
ROBERTA57596546,joaodomenech,2
Catarina_47,joaodomenech,2
Repente40,Dan_SK,2
sa_carlos,_Janoninho,2
Catarina_47,_Janoninho,2
Vacinaagora,_Janoninho,2
ROBERTA57596546,marcosaraujjoo,2
AndrRgo1,marcosaraujjoo,2
bysincerona,MarcianoBrito13,2
itmekamila,_Janoninho,2
RSPeres2,JoaquinTeixeira,2
dayserp1,marcosaraujjoo,2
GLAUCIBARROS15,joaodomenech,2
Maurici80355597,marcosaraujjoo,2
rosielepamela1,OBrizolulista,2
RacylleThainna,Suzano_info,2
Pitchucky,MarcianoBrito13,2
Mariais71386220,vanzuty,2
MarcoAntnioDu1,_Janoninho,2
Andreaasiss0303,marcosaraujjoo,2
leo2etil1,aquiflavio,2
Astuto31111581,joaodomenech,2
CValgueredo,_Janoninho,2
_kleber_silva,joaodomenech,2
MarcoAn52862258,marcosaraujjoo,2
AndreiaPatroci2,OBrizolulista,2
leo2etil1,FranLSNeto,2
leo2etil1,E_PaKabah,2
ivanxavierlima1,Suzano_info,2
GiselyFelipe1,_Janoninho,2
amerciapps,OBrizolulista,2
bola1companhero,_Janoninho,2
gayLulista13,elianeespindo14,2
ObservatorioXX,sorayabborges,2
SoyAlineBatista,MarcianoBrito13,2
eng_kelly,_Janoninho,2
SoyAlineBatista,_Janoninho,2
ItalobomVictor,joaodomenech,2
twitLacro,JoaquinTeixeira,2
ItalobomVictor,_Janoninho,2
Roberta89808625,Suzano_info,2
SEMPREGALO5,JoaquinTeixeira,2
gayLulista13,sorayabborges,2
JosDonizettiVi3,CornetaCritica,2
IvanMor44139289,Suzano_info,2
todaspromocoes,marcosaraujjoo,2
badvibeslg,joaodomenech,2
Clvis45394795,JoaquinTeixeira,2
ORIGOM_14,_Janoninho,2
InesveronicaDe2,joaodomenech,2
Alexandremai5,_Janoninho,2
SrtaElisMontei1,Suzano_info,2
ALEGODOYBOTTINI,_Janoninho,2
Du4rteMarcio,JoaquinTeixeira,2
meihirataa,JoaquinTeixeira,2
Kaliljacob1,_Janoninho,2
AdolphoNeto22,JoaquinTeixeira,2
SoyAlineBatista,CrisSilvaSJC,2
alexand38859437,marcosaraujjoo,2
Dan_SK,_Janoninho,2
luisalv010474,_Janoninho,2
luisalv010474,OBrizolulista,2
gayLulista13,Dan_SK,2
Ohannaa98,Tricolorspfc00,2
elizsoares,CrisSilvaSJC,2
luisalv010474,MarcianoBrito13,2
vaz_eunice,marcosaraujjoo,2
Ohannaa98,LucianaSV29,2
bethebaroni,_Janoninho,2
Ohannaa98,JulianaAmorasP,2
vaz_eunice,MarcianoBrito13,2
elizsoares,marcosaraujjoo,2
SoyAlineBatista,CornetaCritica,2
amerciapps,MarcianoBrito13,2
AgapitoVilson,_Janoninho,2
RonaldoJBBarros,_Janoninho,2
RosenaraCoelho,JoaquinTeixeira,2
AgapitoVilson,OBrizolulista,2
AgapitoVilson,CrisSilvaSJC,2
AgapitoVilson,CornetaCritica,2
SimonepbiSimone,GgmAndrews,2
luisalv010474,winsletpaulson,2
gayLulista13,danielmarks17,2
SimonepbiSimone,E_PaKabah,2
Almeida09517604,JoaquinTeixeira,2
lucearaujo,Suzano_info,2
SirleiFlesch,marcosaraujjoo,2
