created_at,source,target
2022-11-22 17:56:25,Evandro_SI,Danicarlasou
2022-11-22 17:56:36,denisanddi,joaovoltou
2022-11-22 17:56:40,denisanddi,Danicarlasou
2022-11-22 17:56:42,ALEGODOYBOTTINI,_Janoninho
2022-11-22 17:56:48,Tatyana96116871,DCDM115
2022-11-22 17:56:48,2Vsft,DCDM115
2022-11-22 17:56:48,Evandro_SI,Wagner_R_O
2022-11-22 17:56:51,PedullaGabriela,LeoniceMariana1
2022-11-22 17:56:56,soobser_23,UdaJuris2022
2022-11-22 17:56:56,PedullaGabriela,Danicarlasou
2022-11-22 17:56:58,Antonio64592374,Danicarlasou
2022-11-22 17:57:01,denisanddi,alexfmotta
2022-11-22 17:57:05,soobser_23,Suzano_info
2022-11-22 17:57:08,PedullaGabriela,UdaJuris2022
2022-11-22 17:57:12,annasilva963,BrunoCalixto22
2022-11-22 17:57:14,Direita_Network,UdaJuris2022
2022-11-22 17:57:18,denisanddi,LeoniceMariana1
2022-11-22 17:57:25,PedullaGabriela,ApenasTruthNews
2022-11-22 17:57:27,Camilla36694011,Danicarlasou
2022-11-22 17:57:28,denisanddi,John_N4varro
2022-11-22 17:57:38,soobser_23,Danicarlasou
2022-11-22 17:57:40,denisanddi,Pittyprovesi
2022-11-22 17:57:41,ZadraDaniele,Danicarlasou
2022-11-22 17:57:43,pinkylvtc,Suzano_info
2022-11-22 17:57:45,2Vsft,John_N4varro
2022-11-22 17:57:48,denisanddi,MrochaNysoft
2022-11-22 17:57:51,pinkylvtc,DCDM115
2022-11-22 17:57:58,LucyVinhais,Danicarlasou
2022-11-22 17:58:08,Gilbert63577801,Suzano_info
2022-11-22 17:58:08,jjunior19715870,Elainnefaria1
2022-11-22 17:58:18,MarioOl52769551,_Janoninho
2022-11-22 17:58:19,soobser_23,DCDM115
2022-11-22 17:58:20,ElisBrando6,joaovoltou
2022-11-22 17:58:22,CludiaMascaren6,Elainnefaria1
2022-11-22 17:58:27,susana_schmoell,aro_marcia
2022-11-22 17:58:29,CludiaMascaren6,BayerNany
2022-11-22 17:58:31,AmandaArielArt1,linapaulaqueir1
2022-11-22 17:58:42,amgelfer,_Janoninho
2022-11-22 17:58:43,acaciaguerra_,Suzano_info
2022-11-22 17:58:49,Camilla36694011,DCDM115
2022-11-22 17:59:07,soobser_23,Elainnefaria1
